hex,addr,type,desc_rus,unit,min,max,dec,method,multiply,warn,crit,name
13F,320,16 bit signed,Скорость вентилятора 1,%,0.00,100.00,2,R,0.01,90,95,fan1_speed_percent
140,321,16 bit unsigned,Скорость вентилятора 1,об/м,0,65535,0,R,1,9,95,fan1_speed_ob_min
141,322,16 bit signed,Потребляемый ток вентилятора 1,A,0.0,6553.5,1,R,0.01,6553,6553,fan1_I_A
142,323,16 bit unsigned,Потребляемая мощность вентилятора 1,W,0,65535,0,R,1,65535,65535,fan1_power_W
143,324,16 bit signed,Скорость вентилятора 2,%,0.00,100.00,2,R,0.01,90,95,fan2_speed_percent
144,325,16 bit unsigned,Скорость вентилятора 2,об/м,0,65535,0,R,1,90,95,fan2_speed_ob_min
145,326,16 bit signed,Потребляемый ток вентилятора 2,A,0.0,6553.5,1,R,0.01,6553,6553,fan2_I_A
146,327,16 bit unsigned,Потребляемая мощность вентилятора 2,W,0,65535,0,R,1,65535,65535,fan2_power_W
